model	split	C (26/28)	Cʷ (3/6)	Cʼ (6/7)	Cʼʷ (2/3)	Cʼː (2/2)	Cʼːˤ (1/1)	Cʼˤ (1/1)	Cʼˤʷ (1/1)	Cː (6/7)	Cːʷ (3/4)	Cːˤ (2/1)	Cˤ (2/3)	Cˤʷ (1/1)	V (6/6)	Vː (3/5)	Vːˤ (1/3)	Vˤ (4/5)
custom	split	0.867	0.222	0.778	0.333	0.417	0.0	0.0	0.857	0.753	0.0	0.462	0.426	0.933	0.773	0.389	0.0	0.192
custom	split_lm	0.88	0.333	0.809	0.333	0.364	0.0	0.0	0.857	0.752	0.0	0.462	0.426	0.933	0.773	0.413	0.0	0.192
custom	split_noavg	0.878	0.333	0.791	0.333	0.417	0.667	0.0	0.857	0.841	0.222	0.5	0.447	1.0	0.771	0.481	1.0	0.354
custom	split_noinit	0.835	0.0	0.79	0.25	0.143	0.0	0.0	1.0	0.749	0.0	0.455	0.417	0.933	0.71	0.341	0.0	0.0
custom	zero_shot	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.489	0.0	0.0	0.0
gpt-4o-transcribe	split	0.449	0.4	0.035	0.0	0.0	0.0	0.0	0.0	0.355	0.0	0.0	0.0	0.0	0.525	0.234	0.0	0.0
Qwen2-Audio-7B-Instruct	split	0.764	0.0	0.684	0.0	0.333	0.0	0.0	1.0	0.63	0.0	0.444	0.286	0.769	0.696	0.248	0.0	0.0
Qwen2-Audio-7B-Instruct	split_cyrillic	0.735	0.636	0.615	0.333	0.625	0.0	0.222	1.0	0.583	0.333	0.4	0.35	0.8	0.709	0.484	0.667	0.156
Qwen2.5-Omni-7B	split	0.728	0.0	0.53	0.0	0.222	0.667	0.0	0.0	0.632	0.0	0.0	0.348	0.4	0.681	0.366	0.0	0.0
Qwen2.5-Omni-7B	split_cyrillic	0.697	0.303	0.368	0.0	0.0	0.0	0.0	0.5	0.489	0.167	0.0	0.283	0.364	0.661	0.412	0.0	0.0
wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns	split	0.878	0.667	0.846	0.333	0.4	0.0	0.333	0.8	0.862	0.933	0.417	0.87	0.933	0.765	0.483	0.857	0.345
wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns	zero_shot	0.308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.188	0.0	0.0	0.0	0.0	0.47	0.153	0.0	0.0
whisper-large-v3	split	0.894	0.667	0.823	0.333	0.5	0.0	0.0	0.667	0.803	0.722	0.769	0.673	0.545	0.736	0.577	1.0	0.317
whisper-large-v3	split_cyrillic	0.802	0.863	0.78	0.667	1.0	0.0	0.0	1.0	0.817	0.889	0.833	0.419	0.667	0.742	0.583	0.889	0.442
whisper-small	split	0.599	0.0	0.366	0.0	0.0	0.0	0.0	0.0	0.333	0.0	0.0	0.293	0.0	0.651	0.061	0.0	0.056
