lang,model_name,split_name,wer,cer,per,phoneme_fit_logx0,phoneme_fit_r2
Archi,Qwen2-Audio-7B-Instruct,split,0.579,0.163,0.18,1.673,0.68
Archi,Qwen2-Audio-7B-Instruct,split_cyrillic,0.539,0.156,0.166,1.769,0.399
Archi,Qwen2.5-Omni-7B,split,0.705,0.184,0.199,1.826,0.695
Archi,Qwen2.5-Omni-7B,split_cyrillic,0.708,0.212,0.219,1.91,0.598
Archi,custom,split,0.479,0.116,0.122,1.422,0.659
Archi,custom,split_lm,0.465,0.116,0.122,1.399,0.615
Archi,custom,split_noavg,0.462,0.116,0.123,1.129,0.428
Archi,custom,split_noinit,0.593,0.138,0.147,1.515,0.713
Archi,custom,zero_shot,1.0,0.544,0.558,2.722,0.693
Archi,gpt-4o-transcribe,split,0.982,0.435,0.436,2.452,0.539
Archi,wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,split,0.559,0.128,0.135,1.911,0.187
Archi,wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,zero_shot,1.0,0.593,0.606,2.662,0.584
Archi,whisper-large-v3,split,0.402,0.099,0.107,3.686,0.219
Archi,whisper-large-v3,split_cyrillic,0.422,0.111,0.119,34.127,0.176
Archi,whisper-small,split,0.776,0.343,0.305,2.049,0.838
Rutul,Qwen2-Audio-7B-Instruct,split1,0.778,0.242,0.239,2.301,0.425
Rutul,Qwen2-Audio-7B-Instruct,split1_cyrillic,0.828,0.272,0.274,2.574,0.519
Rutul,Qwen2.5-Omni-7B,split1,0.852,0.263,0.257,2.258,0.604
Rutul,Qwen2.5-Omni-7B,split1_cyrillic,0.904,0.295,0.291,2.522,0.512
Rutul,custom,split1,0.725,0.198,0.195,1.815,0.639
Rutul,custom,split1_lm,0.697,0.206,0.206,1.799,0.635
Rutul,custom,split1_noavg,0.738,0.205,0.203,1.716,0.499
Rutul,custom,split1_noinit,0.78,0.224,0.222,2.009,0.523
Rutul,custom,split2,0.891,0.264,0.252,1.945,0.63
Rutul,custom,split3,0.783,0.216,0.213,2.029,0.671
Rutul,custom,zero_shot,1.0,0.563,0.571,3.754,0.362
Rutul,gpt-4o-transcribe,split1,0.994,0.519,0.514,4.304,0.384
Rutul,wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,split1,0.795,0.223,0.22,1.698,0.542
Rutul,wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,split2,0.88,0.271,0.259,1.947,0.636
Rutul,wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,split3,0.782,0.226,0.223,1.962,0.618
Rutul,wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns,zero_shot,1.0,0.656,0.66,3.382,0.349
Rutul,whisper-large-v3,split1,0.778,0.253,0.251,1.866,0.475
Rutul,whisper-large-v3,split1_cyrillic,0.792,0.232,0.235,2.696,0.42
Rutul,whisper-small,split1,1.275,0.952,0.676,2.905,0.544
