model	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
custom_split	('gʷ', 0.0, 6)	('iː', 0.0, 6)	('χˤ', 0.0, 5)	('aˤ', 0.0, 4)	('oːˤ', 0.0, 4)	('iˤ', 0.0, 3)	('ɬːʷ', 0.0, 3)	('oˤ', 0.0, 2)	('qʼʷ', 0.0, 2)	('qʼːˤ', 0.0, 2)	('qʼˤ', 0.0, 2)	('kʷ', 0.0, 1)	('t͡sʼː', 0.0, 1)	('xːˤ', 0.0, 1)	('ʃːʷ', 0.0, 1)	('χːʷ', 0.0, 1)	('ə', 0.22, 6)	('kʼ', 0.5, 17)	('oː', 0.5, 11)	('g', 0.5, 5)	('ʃː', 0.5, 3)	('p', 0.62, 5)	('aː', 0.67, 8)	('kʼʷ', 0.67, 2)	('ʒʷ', 0.67, 2)
custom_split_lm	('gʷ', 0.0, 6)	('iː', 0.0, 6)	('χˤ', 0.0, 5)	('aˤ', 0.0, 4)	('oːˤ', 0.0, 4)	('iˤ', 0.0, 3)	('ɬːʷ', 0.0, 3)	('oˤ', 0.0, 2)	('qʼʷ', 0.0, 2)	('qʼːˤ', 0.0, 2)	('qʼˤ', 0.0, 2)	('kʷ', 0.0, 1)	('t͡sʼː', 0.0, 1)	('xːˤ', 0.0, 1)	('ʃːʷ', 0.0, 1)	('χːʷ', 0.0, 1)	('ə', 0.22, 6)	('g', 0.5, 5)	('ʃː', 0.5, 3)	('kʼ', 0.57, 17)	('oː', 0.57, 11)	('p', 0.62, 5)	('aː', 0.67, 8)	('kʼʷ', 0.67, 2)	('kː', 0.71, 7)
custom_split_noavg	('gʷ', 0.0, 6)	('iː', 0.0, 6)	('χˤ', 0.0, 5)	('aˤ', 0.0, 4)	('iˤ', 0.0, 3)	('qʼʷ', 0.0, 2)	('qʼˤ', 0.0, 2)	('kʷ', 0.0, 1)	('t͡sʼː', 0.0, 1)	('xːˤ', 0.0, 1)	('ʃːʷ', 0.0, 1)	('χːʷ', 0.0, 1)	('ə', 0.29, 6)	('g', 0.38, 5)	('t͡sʼ', 0.53, 10)	('aː', 0.67, 8)	('t͡s', 0.67, 6)	('ʒ', 0.67, 4)	('ɬːʷ', 0.67, 3)	('kʼʷ', 0.67, 2)	('oˤ', 0.67, 2)	('qʼːˤ', 0.67, 2)	('ʟ', 0.73, 7)	('χː', 0.73, 4)	('kʼ', 0.75, 17)
custom_split_noinit	('eˤ', 0.0, 8)	('gʷ', 0.0, 6)	('iː', 0.0, 6)	('t͡s', 0.0, 6)	('ə', 0.0, 6)	('qʼː', 0.0, 5)	('χˤ', 0.0, 5)	('aˤ', 0.0, 4)	('oːˤ', 0.0, 4)	('iˤ', 0.0, 3)	('ɬːʷ', 0.0, 3)	('oˤ', 0.0, 2)	('qʼʷ', 0.0, 2)	('qʼːˤ', 0.0, 2)	('qʼˤ', 0.0, 2)	('ʒʷ', 0.0, 2)	('kʷ', 0.0, 1)	('xːˤ', 0.0, 1)	('ʃːʷ', 0.0, 1)	('χːʷ', 0.0, 1)	('t͡sʼː', 0.29, 1)	('oː', 0.32, 11)	('ʒ', 0.33, 4)	('g', 0.4, 5)	('ʃː', 0.44, 3)
custom_zero_shot	('tː', 0.0, 89)	('χ', 0.0, 78)	('tʼ', 0.0, 57)	('ɬː', 0.0, 37)	('qˤ', 0.0, 23)	('q', 0.0, 21)	('kʼ', 0.0, 17)	('ʟʼ', 0.0, 15)	('t͡ʃʼ', 0.0, 14)	('ɬ', 0.0, 12)	('oː', 0.0, 11)	('sː', 0.0, 10)	('t͡sʼ', 0.0, 10)	('qʼ', 0.0, 9)	('aː', 0.0, 8)	('eˤ', 0.0, 8)	('qˤʷ', 0.0, 8)	('kː', 0.0, 7)	('ʟ', 0.0, 7)	('gʷ', 0.0, 6)	('iː', 0.0, 6)	('ə', 0.0, 6)	('χːˤ', 0.0, 6)	('qʼː', 0.0, 5)	('χˤ', 0.0, 5)
gpt-4o-transcribe_split	('h', 0.0, 42)	('ɬː', 0.0, 37)	('qˤ', 0.0, 23)	('q', 0.0, 21)	('kʼ', 0.0, 17)	('ʟʼ', 0.0, 15)	('t͡ʃʼ', 0.0, 14)	('ɬ', 0.0, 12)	('t͡sʼ', 0.0, 10)	('eˤ', 0.0, 8)	('qˤʷ', 0.0, 8)	('ʟ', 0.0, 7)	('χːˤ', 0.0, 7)	('ə', 0.0, 6)	('qʼː', 0.0, 5)	('ħ', 0.0, 5)	('χˤ', 0.0, 5)	('aˤ', 0.0, 4)	('oːˤ', 0.0, 4)	('ʁ', 0.0, 4)	('ʕ', 0.0, 4)	('iˤ', 0.0, 3)	('qʼˤʷ', 0.0, 3)	('ɬːʷ', 0.0, 3)	('kʼʷ', 0.0, 2)
Qwen2-Audio-7B-Instruct_split	('eˤ', 0.0, 8)	('gʷ', 0.0, 6)	('iː', 0.0, 6)	('ə', 0.0, 6)	('χˤ', 0.0, 5)	('aˤ', 0.0, 4)	('oːˤ', 0.0, 4)	('iˤ', 0.0, 3)	('ɬːʷ', 0.0, 3)	('kʼʷ', 0.0, 2)	('oˤ', 0.0, 2)	('qʼʷ', 0.0, 2)	('qʼːˤ', 0.0, 2)	('qʼˤ', 0.0, 2)	('ʒʷ', 0.0, 2)	('kʷ', 0.0, 1)	('t͡sʼː', 0.0, 1)	('ʃːʷ', 0.0, 1)	('χːʷ', 0.0, 1)	('ʃː', 0.27, 3)	('oː', 0.3, 11)	('ʒ', 0.33, 4)	('χː', 0.33, 4)	('q', 0.38, 21)	('qʼ', 0.4, 9)
Qwen2-Audio-7B-Instruct_split_cyrillic	('ə', 0.0, 6)	('χˤ', 0.0, 5)	('aˤ', 0.0, 4)	('iˤ', 0.0, 3)	('ʃː', 0.0, 3)	('qʼʷ', 0.0, 2)	('qʼːˤ', 0.0, 2)	('ʒʷ', 0.0, 2)	('ʃːʷ', 0.0, 1)	('χːʷ', 0.0, 1)	('ʕ', 0.09, 4)	('eˤ', 0.22, 8)	('qʼˤ', 0.22, 2)	('qʼː', 0.25, 5)	('ħ', 0.25, 5)	('ʁ', 0.25, 4)	('iː', 0.29, 6)	('kʼ', 0.38, 17)	('ʟ', 0.4, 7)	('χːˤ', 0.4, 7)	('oˤ', 0.4, 2)	('qʼ', 0.41, 9)	('χː', 0.43, 4)	('t͡s', 0.46, 6)	('oː', 0.47, 11)
Qwen2.5-Omni-7B_split	('eˤ', 0.0, 8)	('ʟ', 0.0, 7)	('χːˤ', 0.0, 7)	('gʷ', 0.0, 6)	('ə', 0.0, 6)	('χˤ', 0.0, 5)	('aˤ', 0.0, 4)	('oːˤ', 0.0, 4)	('iˤ', 0.0, 3)	('qʼˤʷ', 0.0, 3)	('ɬːʷ', 0.0, 3)	('kʼʷ', 0.0, 2)	('oˤ', 0.0, 2)	('qʼʷ', 0.0, 2)	('qʼˤ', 0.0, 2)	('ʒʷ', 0.0, 2)	('kʷ', 0.0, 1)	('t͡sʼː', 0.0, 1)	('ʃːʷ', 0.0, 1)	('χːʷ', 0.0, 1)	('ʟʼ', 0.22, 15)	('iː', 0.22, 6)	('oː', 0.27, 11)	('ʁ', 0.29, 4)	('ʒ', 0.33, 4)
Qwen2.5-Omni-7B_split_cyrillic	('kʼ', 0.0, 17)	('ʟʼ', 0.0, 15)	('eˤ', 0.0, 8)	('χːˤ', 0.0, 7)	('ə', 0.0, 6)	('qʼː', 0.0, 5)	('ħ', 0.0, 5)	('χˤ', 0.0, 5)	('aˤ', 0.0, 4)	('oːˤ', 0.0, 4)	('χː', 0.0, 4)	('iˤ', 0.0, 3)	('ʃː', 0.0, 3)	('kʼʷ', 0.0, 2)	('oˤ', 0.0, 2)	('qʼʷ', 0.0, 2)	('qʼːˤ', 0.0, 2)	('qʼˤ', 0.0, 2)	('ʒʷ', 0.0, 2)	('kʷ', 0.0, 1)	('t͡sʼː', 0.0, 1)	('ʃːʷ', 0.0, 1)	('χːʷ', 0.0, 1)	('qʼ', 0.12, 9)	('ʕ', 0.15, 4)
